Trial Number,note,SEMs?,Salinity,Conductivity Theoretical,Conductivity Start,Conductivity End,Start Time,Start Date,Pressure (psi),Pump Power,Good,Reason,Researcher,Scale Time 1 (min),Scale Time 2 (min),Batch Flowrate,sixtyP flux time (min),Trough time (min),Peak time (min),Cessation time (min),Flux offset (lmh),Did Not Scale
1,failed run,,24,8.42,5.66,,18:45,10/13/2023,200,22.5,0,,,,,,,,,,0,
2,normal,,24,8.42,7.22,,21:15,10/24/2023,450,22.5,1,,,437,526,435,59,262,430,527,2.1,
3,normal? but never scaled,,24,8.42,5.94,,18:05,10/30/2023,450,22.5,1,,,1.00E+03,1.00E+08,486,283,,,,2.1,1
4,failed run,,24,8.42,8.23,9.18,17:35,10/31/2023,450,22.5,0,repeat data,,,,,,,,,0,
5,normal,,24,8.42,8.14,7.79,21:45,11/1/2023,455,22.5,1,,"Jiayuan, Tyler",692,746+,513,57,172,691,,2.1,
6,failed run,,24,8.42,7.81,11.05,21:35,11/4/2023,450,22.5,0,not set up right,"Jiayuan, Tyler",111,120,,,,,,0,
7,"only perm data logged, missing time list",,24,8.42,7.91,7.92,21:49,11/5/2023,450,22.5,1,,Tyler,133,175,,,,,,0,
8,failed run,,24,8.42,7.86,8.1,8:36,11/7/2023,450,22.5,0,repeat data,Jiayuan,,,,,,,,0,
9,failed run,,24,8.42,7.86,8.05,21:07,11/7/2023,450,22.5,0,repeat data,Tyler,,,,,,,,0,
10,normal,,24,8.42,7.9,,12:10,11/9/2023,450,22.5,1,,Jiayuan,83,111,370,26,50,83,114,2.2,
11,normal,,24,8.42,7.79,,17:05,11/10/2023,450,22.5,1,,Tyler,95,127,395,5.3,48,95,128,2.3,
12,normal,,24,8.42,6.95,,,11/16/2023,450,22.5,1,,J,231,360,375,5.7,107,228,361,2.1,
13,failed run,,24,8.42,-,-,,11/17/2023,450,22.5,0,,J,>225,,,,,,,0,
14,normal,,24,8.42,7.1,7.23,,11/19/2023,450,22.5,1,,J,185,231,335,8,87,185,234,1.9,
15,normal,,24,8.42,6.9,,,11/20/2023,450,22.5,1,,J,138,168,,4.7,69,138,164,2.2,
16,normal,,24,8.42,6.2,6.77,,11/25/2023,450,22.5,1,,J,571,720,342,18,338,573,719,1.5,
,??,,18.1,,6.37,7.05,,12/1/2023,450,22.5,,,,,,,,,,,0,
17,failed run,,18,,6.26,7.07,,12/14/2023,450,22.5,0,,,,577,,,,,,0,
,,,,,,,11:20,7/19/2024,450,22.5,,,,,,,,,,,0,
18,failed? data file size looks too small,,18,,,,,,,,,,,,,,,,,,0,
19,not really usable; combined with next,,18,,5.7,,17:18,8/22/2024,450,,,,,,,,,,,,0,
20,not really usable bc of unknown time gap and no flux cessation. starts with #19,,,,5.7,,,8/23/2024,,,,,,,,,,,,,0,
,can't find file,,23,8,7.18,,12:58,10/16...2024?,450,20.4,,,,,,,,,,,0,
21,initial flux too low. 10-21-24 why not orig included?,,~22,7.5,7.05,,11:34,10/20/2024,450,22.3,,,,,,,,,,,7.8,
22,normal?,,,,7.65,,12:13,10/23/2024,450,21.8,1,,,285,476,,7.5,171,271,340,7.8,
,failed-crashed-no data,,19.6,7,6.25,,12:33,10/31/2025,450,21,,,,,,,,,,,0,
23,why not orig included?,,,7,6.27,6.27,20:24,11/2/2024,450,21,,,,,,,202,697,,,7.9,
24,normal? (file 11-6-24),,,,6.63,6.62,8:45,11/5/2024,450,?,,,,615,416,,70,343,597,771,7.9,
25,"lost some data (11-10-24, missing middle)",,,6,5.4,,12:33,11/10/2024,450,19.6,,,,,,,,,,,7.9,
26,normal?,,,,6.74,,8:57 PM,2/6/2025,450,20.5,,,,,,,,,,,7.6,
