Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.008758306503295898,-5.0,17.394089698791504,0.0,0.0
0.7343928813934326,-5.0,19.536662101745605,0.0,0.0
1.7404255867004395,-4.466447640728477,19.52439546585083,0.0,0.0
2.735368490219116,-5.0,19.528484344482422,0.0,0.0
3.728532314300537,-5.0,18.98057460784912,0.0,0.0
4.721595048904419,-3.699466124275662,19.487595558166504,0.0,0.0
5.738744258880615,-5.0,19.50395107269287,0.0,0.0
6.723514556884766,-5.0,19.508039951324463,0.0,0.0
7.732186317443848,-4.96665297754553,19.52030658721924,0.0,0.0
8.72531008720398,-5.0,19.487595558166504,0.0,0.0
9.733500003814697,-5.0,19.512128829956055,0.0,0.0
10.733784437179565,-4.666529775455298,19.557106494903564,0.0,0.0
11.739521741867065,-5.0,19.581639766693115,0.0,0.0
12.728352785110474,-5.0,19.508039951324463,0.0,0.0
13.72300672531128,-4.96665297754553,19.540750980377197,0.0,0.0
14.730292558670044,-5.0,19.508039951324463,0.0,0.0
15.724008560180664,-5.0,19.540750980377197,0.0,0.0
16.73303532600403,-4.899958932636589,19.52030658721924,0.0,0.0
17.7255756855011,-5.0,19.52030658721924,0.0,0.0
18.73428249359131,-4.366406573365066,19.50395107269287,0.0,0.0
19.733696937561035,-5.0,19.49986219406128,0.0,0.0
20.740607738494873,-5.0,19.52439546585083,0.0,0.0
21.733826875686646,-5.0,19.487595558166504,0.0,0.0
22.728267192840576,-5.0,19.540750980377197,0.0,0.0
23.73684549331665,-5.0,19.528484344482422,0.0,0.0
24.74568247795105,-4.899958932636589,19.532573223114014,6.4453125,0.0
25.739229917526245,-5.0,19.532573223114014,3.22265625,0.0
26.732399940490723,-5.0,19.49986219406128,0.0,0.0
27.741623878479004,-5.0,19.491684436798096,0.0,0.0
28.729151248931885,-5.0,19.512128829956055,6.4453125,0.0
29.738083362579346,-5.0,19.540750980377197,0.0,0.0
30.730830192565918,-5.0,19.49986219406128,22.558593749999996,0.0
31.73942995071411,-5.0,19.540750980377197,0.0,0.0
32.73274493217468,-5.0,19.54483985900879,3.22265625,0.0
33.74147939682007,-5.0,19.516217708587646,0.0,0.0
34.73414397239685,-4.233018483547186,19.49986219406128,0.0,0.0
35.74345850944519,-4.933305955091059,19.532573223114014,0.0,0.0
36.73845887184143,-4.2997125284561255,19.25044059753418,19.335937499999996,0.0
37.73448467254639,-5.0,19.495773315429688,0.0,0.0
38.74479103088379,-5.0,19.512128829956055,0.0,0.0
39.735268354415894,-3.9328952814569536,19.536662101745605,0.0,0.0
40.74469351768494,-5.0,19.557106494903564,0.0,0.0
41.73844909667969,-4.533141685637418,19.495773315429688,0.0,0.0
42.75015163421631,-5.0,19.54892873764038,3.22265625,0.0
43.73929738998413,-5.0,19.516217708587646,3.22265625,0.0
44.748169898986816,-5.0,19.54483985900879,3.22265625,0.0
45.73575162887573,-4.833264887727649,19.47941780090332,0.0,0.0
46.744394302368164,-5.0,19.52439546585083,0.0,0.0
47.73782777786255,-5.0,19.49986219406128,3.22265625,0.0
48.73413968086243,-5.0,19.52030658721924,0.0,0.0
49.74572420120239,-4.933305955091059,19.508039951324463,0.0,0.0
50.73525667190552,-4.7332238203642385,19.512128829956055,0.0,0.0
51.742650747299194,-5.0,19.49986219406128,0.0,0.0
52.73614454269409,-4.799917865273179,19.467151165008545,0.0,0.0
53.7493109703064,-5.0,18.66164207458496,9.667968749999998,0.0
54.73686385154724,-4.7332238203642385,19.52439546585083,0.0,0.0
55.746034145355225,-5.0,19.557106494903564,0.0,0.0
56.73970890045166,-5.0,19.516217708587646,3.22265625,0.0
57.73247766494751,-5.0,19.50395107269287,0.0,0.0
58.740039110183716,-5.0,19.512128829956055,0.0,0.0
59.734778881073,-5.0,19.49986219406128,3.22265625,0.0
60.74274277687073,-5.0,19.52439546585083,0.0,0.0
61.73538255691528,-4.466447640728477,19.516217708587646,0.0,0.0
62.74394774436951,-4.633182753000828,19.536662101745605,0.0,0.0
63.737101793289185,-5.0,19.483506679534912,0.0,0.0
64.74556541442871,-5.0,19.54483985900879,0.0,0.0
65.74267983436584,-5.0,19.557106494903564,3.22265625,0.0
66.75391364097595,-5.0,19.495773315429688,3.22265625,0.0
67.74748301506042,-5.0,19.52030658721924,0.0,0.0
68.75678825378418,-5.0,19.49986219406128,0.0,0.0
69.7420506477356,-5.0,19.47941780090332,0.0,0.0
