Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.07563018798828125,-5.0,1153,0.0,68.7
1.0036747455596924,-5.0,1209,0.0,68.7
1.9942829608917236,-5.0,1209,0.0,68.7
3.4172630310058594,-5.0,1209,0.0,68.7
4.4253833293914795,-5.0,1209,0.0,68.7
5.419245719909668,-4.666529775455298,1209,0.0,68.7
6.4282660484313965,-4.933305955091059,1209,0.0,68.7
7.42160964012146,-4.933305955091059,1208,0.0,68.7
8.429968118667603,-4.933305955091059,1209,0.0,68.7
9.426727056503296,-4.933305955091059,1209,0.0,68.7
10.43424367904663,-4.933305955091059,1209,0.0,68.7
11.305834293365479,-4.933305955091059,1209,0.0,68.7
