   1.0704814e+00	   3.2569067e+00	   1.9351724e+01	   1.4714871e+01	   5.8027273e+02	   1.3126663e-01	
   3.6866777e+00	   3.3459754e+00	   1.9324138e+01	   1.4305544e+01	   5.7962034e+02	   7.6395916e-01	   1.0000000e+00	
   5.8122942e+00	   3.2469299e+00	   1.9286207e+01	   1.4376820e+01	   5.7103731e+02	   1.2720234e+00	   1.0000000e+00	
   8.1368408e+00	   3.2549981e+00	   1.9289655e+01	   1.4853350e+01	   5.7955917e+02	   1.8382475e+00	   1.0000000e+00	
   1.0340984e+01	   3.2425921e+00	   1.9375862e+01	   1.4759673e+01	   5.8155712e+02	   2.3821753e+00	   1.0000000e+00	
   1.2555557e+01	   3.2677752e+00	   1.9210345e+01	   1.5454104e+01	   5.7957956e+02	   2.9397638e+00	   1.0000000e+00	
   1.4882704e+01	   3.2591599e+00	   1.9458621e+01	   1.4446059e+01	   5.7847865e+02	   3.5196145e+00	   1.0000000e+00	
   1.7059424e+01	   3.3012896e+00	   1.9665517e+01	   1.4340164e+01	   5.8249494e+02	   4.0417773e+00	   1.0000000e+00	
   1.9270545e+01	   3.2817187e+00	   1.9562069e+01	   1.4729127e+01	   5.7984460e+02	   4.5774083e+00	   1.0000000e+00	
   2.1664268e+01	   3.2276413e+00	   1.9558621e+01	   1.4767819e+01	   5.7578753e+02	   5.1658042e+00	   1.0000000e+00	
   2.4074044e+01	   3.2734480e+00	   1.9562069e+01	   1.4775965e+01	   5.8534915e+02	   5.7590868e+00	   1.0000000e+00	
   2.6520177e+01	   3.2953682e+00	   1.9562069e+01	   1.5639422e+01	   5.7774471e+02	   6.3790875e+00	   1.0000000e+00	
   2.8877141e+01	   3.3040437e+00	   1.9731034e+01	   1.2686562e+01	   5.5599152e+02	   6.9354485e+00	   1.0000000e+00	
   3.1176039e+01	   3.3103479e+00	   1.9624138e+01	   1.6578227e+01	   5.7815245e+02	   7.4960882e+00	   1.0000000e+00	
   3.3605285e+01	   3.2982600e+00	   1.9496552e+01	   1.4505117e+01	   5.8492102e+02	   8.1253308e+00	   1.0000000e+00	
   3.6020118e+01	   3.2240362e+00	   1.9203448e+01	   1.5059032e+01	   5.8190371e+02	   8.7202680e+00	   1.0000000e+00	
   3.8503710e+01	   3.1226675e+00	   1.9458621e+01	   1.3201786e+01	   5.7794858e+02	   9.3051708e+00	   1.0000000e+00	
   4.0983132e+01	   3.1143969e+00	   1.9620690e+01	   1.3975638e+01	   5.7949801e+02	   9.8667067e+00	   1.0000000e+00	
   4.3490413e+01	   3.2147582e+00	   1.9665517e+01	   1.3207895e+01	   5.8049699e+02	   1.0434680e+01	   1.0000000e+00	
   4.5848822e+01	   3.3058668e+00	   1.9627586e+01	   1.3065343e+01	   5.8322888e+02	   1.0951038e+01	   1.0000000e+00	
   4.8311586e+01	   3.2922956e+00	   1.9541379e+01	   1.3403395e+01	   5.8447250e+02	   1.1494257e+01	   1.0000000e+00	
   5.0929605e+01	   3.2747481e+00	   1.9589655e+01	   1.3370811e+01	   5.7633799e+02	   1.2078385e+01	   1.0000000e+00	
   5.3379534e+01	   3.2969876e+00	   1.9600000e+01	   1.3022577e+01	   5.8257649e+02	   1.2617235e+01	   1.0000000e+00	
   5.5759576e+01	   2.7403085e+00	   1.9600000e+01	   1.3983784e+01	   5.7941646e+02	   1.3152870e+01	   1.0000000e+00	
   5.8135048e+01	   2.8961787e+00	   1.9624138e+01	   1.3385066e+01	   5.7558366e+02	   1.3694653e+01	   1.0000000e+00	
   6.0594988e+01	   3.2750651e+00	   1.9455172e+01	   1.4089680e+01	   5.8116977e+02	   1.4257872e+01	   1.0000000e+00	
   6.3095437e+01	   3.3466116e+00	   1.9603448e+01	   1.3030723e+01	   5.7760200e+02	   1.4822982e+01	   1.0000000e+00	
   6.5515817e+01	   3.2823549e+00	   1.9372414e+01	   1.3861597e+01	   5.8045621e+02	   1.5365395e+01	   1.0000000e+00	
   6.7970704e+01	   3.2934193e+00	   1.9517241e+01	   1.3419686e+01	   5.8106783e+02	   1.5923499e+01	   1.0000000e+00	
   7.0323682e+01	   3.3203889e+00	   1.9517241e+01	   1.3464488e+01	   5.8220952e+02	   1.6450648e+01	   1.0000000e+00	
   7.2728703e+01	   3.3267567e+00	   1.9496552e+01	   1.4364601e+01	   5.7923298e+02	   1.7008394e+01	   1.0000000e+00	
   7.5248172e+01	   3.3517012e+00	   1.9537931e+01	   1.6665795e+01	   5.6267854e+02	   1.7659895e+01	   1.0000000e+00	
   7.7829853e+01	   3.3357961e+00	   1.9434483e+01	   1.3252697e+01	   5.0449335e+02	   1.8303562e+01	   1.0000000e+00	
   8.0300284e+01	   3.3273042e+00	   1.9431034e+01	   1.3576493e+01	   4.6139472e+02	   1.8855892e+01	   1.0000000e+00	
   8.2850145e+01	   3.3708703e+00	   1.9624138e+01	   1.3376921e+01	   4.8787775e+02	   1.9428621e+01	   1.0000000e+00	
   8.5166516e+01	   3.3268892e+00	   1.9437931e+01	   1.3529655e+01	   4.9246488e+02	   1.9948001e+01	   1.0000000e+00	
   8.7735659e+01	   3.3459754e+00	   1.9368966e+01	   1.2922791e+01	   4.6392274e+02	   2.0514336e+01	   1.0000000e+00	
   9.0338709e+01	   3.3883890e+00	   1.9620690e+01	   1.2837260e+01	   4.8178196e+02	   2.1073125e+01	   1.0000000e+00	
   9.2799207e+01	   3.4274096e+00	   1.9455172e+01	   1.3197713e+01	   4.9872376e+02	   2.1606950e+01	   1.0000000e+00	
   9.5023569e+01	   3.4234264e+00	   1.9413793e+01	   1.3647769e+01	   4.9136397e+02	   2.2104567e+01	   1.0000000e+00	
   9.7312203e+01	   3.3662183e+00	   1.9610345e+01	   1.3110145e+01	   4.8125190e+02	   2.2614893e+01	   1.0000000e+00	
   9.9878563e+01	   3.3227804e+00	   1.9624138e+01	   1.3930836e+01	   5.1582866e+02	   2.3193200e+01	   1.0000000e+00	
   1.0239920e+02	   3.2127700e+00	   1.9627586e+01	   1.3782175e+01	   5.1902945e+02	   2.3775319e+01	   1.0000000e+00	
   1.0500734e+02	   3.2472311e+00	   1.9624138e+01	   1.3505217e+01	   4.9650155e+02	   2.4368398e+01	   1.0000000e+00	
   1.0761861e+02	   3.2856685e+00	   1.9600000e+01	   1.3894180e+01	   5.2928424e+02	   2.4964625e+01	   1.0000000e+00	
   1.1007832e+02	   3.2910304e+00	   1.9627586e+01	   1.2961484e+01	   5.3187342e+02	   2.5515100e+01	   1.0000000e+00	
   1.1250945e+02	   3.3055499e+00	   1.9603448e+01	   1.3829014e+01	   5.0259734e+02	   2.6057862e+01	   1.0000000e+00	
   1.1507872e+02	   3.2571718e+00	   1.9613793e+01	   1.4185393e+01	   5.4365724e+02	   2.6657667e+01	   1.0000000e+00	
   1.1747949e+02	   3.2021666e+00	   1.9537931e+01	   1.3026650e+01	   5.2973276e+02	   2.7202082e+01	   1.0000000e+00	
   1.1991677e+02	   3.2111000e+00	   1.9537931e+01	   1.2989994e+01	   5.1574711e+02	   2.7730497e+01	   1.0000000e+00	
   1.2241790e+02	   3.3224358e+00	   1.9658621e+01	   1.3387103e+01	   4.8826511e+02	   2.8280267e+01	   1.0000000e+00	
   1.2476254e+02	   3.4612875e+00	   1.9772414e+01	   1.3228259e+01	   4.9336192e+02	   2.8800297e+01	   1.0000000e+00	
   1.2704626e+02	   3.5507538e+00	   1.9648276e+01	   1.3545946e+01	   4.5898903e+02	   2.9309837e+01	   1.0000000e+00	
   1.2945719e+02	   3.5215944e+00	   1.9613793e+01	   1.3688498e+01	   4.8353527e+02	   2.9857005e+01	   1.0000000e+00	
   1.3206789e+02	   3.4864706e+00	   1.9496552e+01	   1.3097926e+01	   4.6694005e+02	   3.0439767e+01	   1.0000000e+00	
   1.3430429e+02	   3.4732163e+00	   1.9796552e+01	   1.3482816e+01	   4.6431010e+02	   3.0935143e+01	   1.0000000e+00	
   1.3655629e+02	   3.4655819e+00	   1.9613793e+01	   1.3134582e+01	   4.9968196e+02	   3.1434664e+01	   1.0000000e+00	
   1.3885895e+02	   3.4659265e+00	   1.9762069e+01	   1.2943156e+01	   4.6512559e+02	   3.1935065e+01	   1.0000000e+00	
   1.4126506e+02	   3.5129791e+00	   1.9748276e+01	   1.3910472e+01	   4.9158823e+02	   3.2473504e+01	   1.0000000e+00	
   1.4380606e+02	   3.5272937e+00	   1.9665517e+01	   1.3183457e+01	   4.7756180e+02	   3.3047219e+01	   1.0000000e+00	
   1.4612883e+02	   3.5137021e+00	   1.9751724e+01	   1.3010359e+01	   4.8108880e+02	   3.3554236e+01	   1.0000000e+00	
   1.4858874e+02	   3.4981113e+00	   1.9617241e+01	   1.3431905e+01	   4.8324984e+02	   3.4096283e+01	   1.0000000e+00	
   1.5100499e+02	   3.5249079e+00	   1.9644828e+01	   1.4494934e+01	   4.5381067e+02	   3.4658601e+01	   1.0000000e+00	
   1.5371530e+02	   3.4944231e+00	   1.9668966e+01	   1.4156883e+01	   4.5050793e+02	   3.5305729e+01	   1.0000000e+00	
   1.5619502e+02	   3.2604854e+00	   1.9689655e+01	   1.3295462e+01	   5.7442159e+02	   3.5873013e+01	   1.0000000e+00	
   1.5872953e+02	   3.2429379e+00	   1.9686207e+01	   1.3613149e+01	   5.7580792e+02	   3.6441348e+01	   1.0000000e+00	
   1.6104754e+02	   3.3386855e+00	   1.9627586e+01	   1.3596858e+01	   5.7731658e+02	   3.6966957e+01	   1.0000000e+00	
   1.6341197e+02	   3.3777856e+00	   1.9558621e+01	   1.3285280e+01	   5.7639915e+02	   3.7496633e+01	   1.0000000e+00	
   1.6588736e+02	   3.5056893e+00	   1.9582759e+01	   1.2898354e+01	   5.7921259e+02	   3.8036756e+01	   1.0000000e+00	
   1.6837463e+02	   3.5368368e+00	   1.9744828e+01	   1.3075525e+01	   5.7955917e+02	   3.8575121e+01	   1.0000000e+00	
   1.7094936e+02	   3.5050265e+00	   1.9720690e+01	   1.3209931e+01	   5.7982421e+02	   3.9139104e+01	   1.0000000e+00	
   1.7330771e+02	   3.4944231e+00	   1.9717241e+01	   1.3383030e+01	   5.7845826e+02	   3.9661735e+01	   1.0000000e+00	
   1.7579034e+02	   3.4598560e+00	   1.9682759e+01	   1.2953338e+01	   5.7760200e+02	   4.0206595e+01	   1.0000000e+00	
   1.7821953e+02	   3.5158709e+00	   1.9472414e+01	   1.3128473e+01	   5.7770394e+02	   4.0734576e+01	   1.0000000e+00	
   1.8070363e+02	   3.5277481e+00	   1.9675862e+01	   1.3173275e+01	   5.7974266e+02	   4.1279045e+01	   1.0000000e+00	
   1.8330204e+02	   3.5242452e+00	   1.9603448e+01	   1.4083570e+01	   5.7735735e+02	   4.1869249e+01	   1.0000000e+00	
   1.8591420e+02	   3.4787485e+00	   1.9644828e+01	   1.3348410e+01	   5.8059892e+02	   4.2466389e+01	   1.0000000e+00	
   1.8840652e+02	   3.4668543e+00	   1.9641379e+01	   1.4002112e+01	   5.7715348e+02	   4.3034440e+01	   1.0000000e+00	
   1.9091461e+02	   3.4937604e+00	   1.9665517e+01	   1.4073388e+01	   5.7937569e+02	   4.3621239e+01	   1.0000000e+00	
   1.9329358e+02	   3.5043903e+00	   1.9662069e+01	   1.3346374e+01	   5.7754084e+02	   4.4164830e+01	   1.0000000e+00	
   1.9586877e+02	   3.5167825e+00	   1.9644828e+01	   1.3220114e+01	   5.7741851e+02	   4.4734943e+01	   1.0000000e+00	
   1.9844428e+02	   3.5271554e+00	   1.9689655e+01	   1.3609076e+01	   5.8420747e+02	   4.5310768e+01	   1.0000000e+00	
   2.0103853e+02	   3.5070147e+00	   1.9668966e+01	   1.3505217e+01	   5.7778548e+02	   4.5896945e+01	   1.0000000e+00	
   2.0345424e+02	   3.5158420e+00	   1.9689655e+01	   1.3680352e+01	   5.8956931e+02	   4.6444214e+01	   1.0000000e+00	
   2.0570781e+02	   3.5408131e+00	   1.9686207e+01	   1.3847342e+01	   5.7839710e+02	   4.6961177e+01	   1.0000000e+00	
   2.0800888e+02	   3.5382198e+00	   1.9603448e+01	   1.4142628e+01	   5.7741851e+02	   4.7497901e+01	   1.0000000e+00	
   2.1029642e+02	   3.5368368e+00	   1.9582759e+01	   1.3790321e+01	   5.8108822e+02	   4.8030382e+01	   1.0000000e+00	
   2.1252678e+02	   3.5096655e+00	   1.9668966e+01	   1.3073489e+01	   5.8037466e+02	   4.8529683e+01	   1.0000000e+00	
   2.1478357e+02	   3.5174740e+00	   1.9665517e+01	   1.3130510e+01	   5.7709232e+02	   4.9022490e+01	   1.0000000e+00	
   2.1694456e+02	   3.5613572e+00	   1.9689655e+01	   1.3433941e+01	   5.7796897e+02	   4.9500871e+01	   1.0000000e+00	
   2.1916229e+02	   3.5421385e+00	   1.9665517e+01	   1.3810685e+01	   5.7721464e+02	   5.0004381e+01	   1.0000000e+00	
   2.2137147e+02	   3.5555080e+00	   1.9627586e+01	   1.3159020e+01	   5.7568560e+02	   5.0500888e+01	   1.0000000e+00	
   2.2355780e+02	   3.5540673e+00	   1.9606897e+01	   1.4036732e+01	   5.7966111e+02	   5.0996378e+01	   1.0000000e+00	
   2.2599505e+02	   3.5520504e+00	   1.9686207e+01	   1.3101999e+01	   5.7780587e+02	   5.1547579e+01	   1.0000000e+00	
   2.2817062e+02	   3.5807349e+00	   1.9668966e+01	   1.3407467e+01	   5.7617489e+02	   5.2028188e+01	   1.0000000e+00	
   2.3038690e+02	   3.5788263e+00	   1.9582759e+01	   1.3228259e+01	   5.7988537e+02	   5.2520123e+01	   1.0000000e+00	
   2.3262143e+02	   3.5633453e+00	   1.9689655e+01	   1.3572420e+01	   5.8371817e+02	   5.3019180e+01	   1.0000000e+00	
   2.3486783e+02	   3.5202401e+00	   1.9603448e+01	   1.3696644e+01	   5.8241339e+02	   5.3529657e+01	   1.0000000e+00	
   2.3721944e+02	   3.6379933e+00	   1.9606897e+01	   1.3704790e+01	   5.8638890e+02	   5.4066638e+01	   1.0000000e+00	
   2.3964294e+02	   3.6494980e+00	   1.9762069e+01	   1.3955274e+01	   5.7680690e+02	   5.4625254e+01	   1.0000000e+00	
   2.4196481e+02	   3.5737366e+00	   1.9831034e+01	   1.3609076e+01	   5.7900872e+02	   5.5158594e+01	   1.0000000e+00	
   2.4438066e+02	   3.5845521e+00	   1.9568966e+01	   1.3289353e+01	   5.7770394e+02	   5.5700115e+01	   1.0000000e+00	
   2.4667171e+02	   3.5673216e+00	   1.9637931e+01	   1.4274997e+01	   5.7945724e+02	   5.6226377e+01	   1.0000000e+00	
   2.4912443e+02	   3.0272103e+00	   1.9762069e+01	   1.3635550e+01	   5.7762239e+02	   5.6796850e+01	   1.0000000e+00	
   2.5154853e+02	   3.3936907e+00	   1.9637931e+01	   1.3552056e+01	   5.7409539e+02	   5.7346063e+01	   1.0000000e+00	
   2.5378190e+02	   3.5374995e+00	   1.9731034e+01	   1.4012294e+01	   5.7845826e+02	   5.7859073e+01	   1.0000000e+00	
   2.5600659e+02	   3.5799131e+00	   1.9551724e+01	   1.3301572e+01	   5.7882523e+02	   5.8365449e+01	   1.0000000e+00	
   2.5828484e+02	   3.5113886e+00	   1.9637931e+01	   1.3079598e+01	   5.7815245e+02	   5.8866305e+01	   1.0000000e+00	
   2.6037624e+02	   3.4944231e+00	   1.9734483e+01	   1.2892244e+01	   5.7947763e+02	   5.9318953e+01	   1.0000000e+00	
   2.6261080e+02	   3.5805758e+00	   1.9713793e+01	   1.3114218e+01	   5.8225029e+02	   5.9803226e+01	   1.0000000e+00	
   2.6483966e+02	   3.6101386e+00	   1.9710345e+01	   1.3450233e+01	   5.7768355e+02	   6.0296630e+01	   1.0000000e+00	
   2.6708983e+02	   3.5315351e+00	   1.9775862e+01	   1.3323973e+01	   5.5431977e+02	   6.0798684e+01	   1.0000000e+00	
   2.6929562e+02	   3.6055469e+00	   1.9793103e+01	   1.4081534e+01	   5.1301522e+02	   6.1302442e+01	   1.0000000e+00	
