Time (seconds),Conductivity (mS/cm),Measured distance (cm),Flowrate (mL/min),Permeate mass (g),Stage number
0.008263111,6.237946567,21.46252394,3.22265625,0,1
0.527703524,6.671457859,21.45843506,0,8.4,1
1.76454401,6.938234039,21.08225822,0,8.4,1
2.773835421,7.63852151,21.53203487,0,8.4,1
3.764676809,6.738151904,21.45434618,3.22265625,8.4,1
4.770761728,7.171663196,21.49523497,0,8.4,1
7.109124422,6.804845949,21.5075016,0,8.4,1
8.10172534,6.804845949,21.88776731,0,8.4,1
9.095875502,7.405092353,21.8714118,0,8.4,1
10.10279298,7.138316173,21.51159048,0,8.4,1
11.10071039,6.971581061,21.43799067,0,0,1
12.10750723,6.838192971,21.53612375,0,0,1
13.10174894,6.938234039,21.46252394,0,0,1
14.10662413,6.738151904,21.85914516,0,0,1
15.09982014,6.571416792,21.90003395,0,0,1
16.11190534,6.704804882,21.92456722,180.46875,0,1
17.10245657,6.638110837,21.53612375,373.828125,0,1
18.11373186,7.071622129,21.54430151,528.515625,0,1
19.10734415,7.471786398,21.57701254,634.8632812,0,1
20.11504507,7.171663196,21.58927917,628.4179688,0,1
21.10592818,7.004928084,21.94910049,625.1953125,0,1
22.12828922,8.272114937,21.56883478,631.640625,0,1
23.12108541,7.938644712,21.527946,618.75,0,1
24.11943984,7.338398308,21.55656815,615.5273438,0,1
25.10901642,7.071622129,21.527946,609.0820312,0,1
26.10239577,7.271704263,21.51159048,615.5273438,0,1
27.1113317,7.138316173,21.57292366,615.5273438,0,1
28.10570455,6.371334657,21.53203487,621.9726563,0,1
29.1122818,6.971581061,21.98181152,618.75,0,1
30.10675049,7.238357241,21.52385712,609.0820312,0,1
31.11494398,7.205010218,21.53612375,615.5273438,0,1
32.10920906,7.205010218,21.54021263,615.5273438,0,1
33.11734033,7.271704263,21.54021263,554.296875,0,1
34.11044502,7.63852151,21.97772264,696.09375,0,1
35.12243581,7.271704263,21.527946,667.0898437,0,1
36.12168646,7.405092353,22.03087807,676.7578125,0,1
37.12200046,7.371745331,22.40296602,712.2070313,0,1
38.1141088,7.371745331,21.62607908,667.0898437,0,1
