Time (seconds),Conductivity (mS),Measured distance (cm),Flowrate (mL/min),Permeate mass (g)
0.008275270462036133,12.240410608961092,16,480.17578125,605.4
1.4720542430877686,12.307104653870034,21,496.2890625,605.8
2.480928897857666,12.173716564052153,21,502.734375,606.1
3.4742438793182373,12.607227855960264,21,499.51171875,606.6
4.4747960567474365,12.140369541597682,23,496.2890625,607.0
5.4831483364105225,12.373798698778973,21,560.7421874999999,607.5
6.477045774459839,12.840657013141556,21,493.06640625,607.8
7.485908508300781,12.340451676324502,21,496.2890625,608.2
8.4785475730896,12.10702251914321,21,486.62109375,608.7
9.487305879592896,12.073675496688743,21,499.51171875,609.1
10.482331991195679,12.507186788596854,21,509.1796875,609.5
11.491942167282104,12.273757631415563,21,496.2890625,609.9
12.484973907470703,12.340451676324502,21,499.51171875,610.2
13.486411094665527,11.940287406870862,21,499.51171875,610.7
14.47509503364563,12.073675496688743,21,493.06640625,611.2
15.469322204589844,12.673921900869207,21,496.2890625,611.6
16.477913856506348,12.573880833505797,21,499.51171875,611.9
17.470229148864746,12.707268923323674,21,496.2890625,612.3
18.478688716888428,12.807309990687088,21,486.62109375,612.8
19.472257375717163,12.440492743687916,21,473.73046875,613.2
20.480458974838257,12.540533811051326,21,480.17578125,613.7
21.474964380264282,12.407145721233444,21,480.17578125,613.9
22.48509907722473,12.507186788596854,21,460.83984375,614.4
23.480584859848022,12.840657013141556,21,441.50390625,614.8
24.491372108459473,12.0069814517798,21,464.0625,615.3
25.483190298080444,12.573880833505797,21,483.3984375,615.7
26.491079092025757,13.14078021523179,21,476.953125,616.0
27.483333110809326,12.507186788596854,21,483.3984375,616.4
28.48836040496826,12.140369541597682,21,467.28515625,616.9
29.482128381729126,12.707268923323674,21,486.62109375,617.3
30.474400758743286,12.440492743687916,21,483.3984375,617.8
31.490968704223633,12.407145721233444,21,496.2890625,618.1
32.4771511554718,12.407145721233444,21,489.84375,618.5
33.485578536987305,12.373798698778973,21,489.84375,619.0
34.47907996177673,12.707268923323674,21,483.3984375,619.4
35.48939919471741,12.907351058050498,21,486.62109375,619.8
36.4848997592926,12.673921900869207,21,493.06640625,620.1
37.493733644485474,12.307104653870034,21,496.2890625,620.6
38.48592519760132,12.940698080504966,21,496.2890625,621.0
39.481754541397095,12.607227855960264,21,493.06640625,621.4
40.49005174636841,12.407145721233444,21,496.2890625,621.9
41.498913288116455,12.340451676324502,21,493.06640625,622.2
42.490156173706055,12.874004035596027,21,496.2890625,622.6
43.478827238082886,12.507186788596854,21,493.06640625,623.0
44.492226362228394,12.507186788596854,21,483.3984375,623.5
45.48419547080994,12.573880833505797,21,470.5078125,623.9
46.49234867095947,12.407145721233444,21,483.3984375,624.2
47.486249685287476,13.14078021523179,21,486.62109375,624.7
48.49744963645935,12.507186788596854,21,493.06640625,625.1
49.48835611343384,12.473839766142383,21,496.2890625,625.5
50.50254774093628,12.440492743687916,21,493.06640625,625.9
51.48997902870178,12.340451676324502,21,499.51171875,626.3
52.49821877479553,12.473839766142383,21,496.2890625,626.7
53.49343776702881,12.440492743687916,21,502.734375,627.2
54.48895978927612,12.540533811051326,21,483.3984375,627.5
55.497032165527344,12.507186788596854,21,483.3984375,627.9
56.492767572402954,12.373798698778973,21,493.06640625,628.3
57.497358083724976,12.373798698778973,21,496.2890625,628.8
58.48724818229675,12.773962968232617,21,473.73046875,629.2
59.494622230529785,12.707268923323674,21,460.83984375,629.6
60.487364292144775,12.640574878414736,21,480.17578125,629.9
61.49656367301941,12.407145721233444,21,467.28515625,630.3
62.48888635635376,12.640574878414736,21,473.73046875,630.8
63.497812271118164,13.307515327504138,21,493.06640625,631.2
64.50093793869019,12.440492743687916,21,451.171875,631.6
65.48548007011414,12.473839766142383,21,454.39453125,631.9
66.49275946617126,12.10702251914321,21,470.5078125,632.4
67.48656988143921,12.507186788596854,21,489.84375,632.8
68.49520564079285,12.507186788596854,21,499.51171875,633.3
69.489102602005,12.507186788596854,21,486.62109375,633.6
70.50288271903992,12.807309990687088,21,489.84375,634.0
71.49534726142883,12.273757631415563,21,480.17578125,634.4
72.50453114509583,12.407145721233444,21,489.84375,634.9
73.49578857421875,12.507186788596854,21,480.17578125,635.3
74.50030732154846,13.67433257450331,22,496.2890625,635.6
75.49857354164124,12.607227855960264,21,496.2890625,636.0
76.5073094367981,12.540533811051326,21,493.06640625,636.5
77.49645829200745,13.04073914786838,21,493.06640625,636.9
78.48897552490234,12.707268923323674,21,499.51171875,637.3
79.49803614616394,12.640574878414736,21,493.06640625,637.6
80.4927008152008,12.807309990687088,21,496.2890625,638.1
81.49976873397827,12.940698080504966,21,476.953125,638.5
82.49334454536438,12.907351058050498,21,493.06640625,638.9
83.50611090660095,12.673921900869207,22,486.62109375,639.4
84.49930810928345,12.640574878414736,21,476.953125,639.7
85.50860214233398,12.507186788596854,22,483.3984375,640.1
86.49774646759033,12.640574878414736,21,489.84375,640.5
87.49124431610107,12.273757631415563,21,493.06640625,641.0
88.4985716342926,12.540533811051326,21,493.06640625,641.4
89.49228763580322,12.773962968232617,22,496.2890625,641.7
90.50055456161499,12.740615945778146,21,496.2890625,642.1
91.49447107315063,12.673921900869207,21,493.06640625,642.6
92.50284123420715,12.207063586506624,21,489.84375,643.0
93.49657797813416,12.540533811051326,21,464.0625,643.3
94.51178908348083,12.740615945778146,21,447.94921875,643.8
95.49772930145264,12.773962968232617,21,441.50390625,644.2
96.50599884986877,12.640574878414736,21,483.3984375,644.6
